key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
BOOKKEEPER-548,2013-01-16,2013-02-19,4.1.0,4.1.1,4.2.1,4.1.0;4.1.1;4.2.0,1
BOOKKEEPER-554,2013-01-20,2013-02-12,4.2.0,4.2.1,4.2.1,4.2.0,1
BOOKKEEPER-556,2013-01-24,2013-02-09,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-557,2013-01-24,2013-03-25,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-559,2013-01-28,2013-03-05,4.2.0,4.2.1,4.2.1,4.2.0,1
BOOKKEEPER-561,2013-02-05,2013-02-08,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-567,2013-02-09,2013-02-19,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-568,2013-02-11,2013-02-15,4.2.0,4.2.1,4.2.1,4.2.0,1
BOOKKEEPER-569,2013-02-13,2013-02-16,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-580,2013-02-27,2013-08-23,4.2.0,4.2.1,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-578,2013-02-27,2016-04-05,4.1.0,4.2.1,4.4.0,4.1.0;4.1.1;4.2.0;4.2.1;4.2.2;4.3.0;4.2.3;4.3.1;4.3.2,1
BOOKKEEPER-581,2013-03-05,2013-03-25,4.2.0,4.2.1,4.2.1,4.2.0;4.2.1,1
BOOKKEEPER-584,2013-03-12,2013-04-26,4.2.0,4.2.1,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-586,2013-03-20,2013-03-25,4.1.1,4.2.1,4.2.1,4.1.1;4.2.0,1
BOOKKEEPER-594,2013-03-26,2016-03-16,4.1.0,4.2.1,4.4.0,4.1.0;4.1.1;4.2.0;4.2.1;4.2.2;4.3.0;4.2.3;4.3.1;4.3.2,1
BOOKKEEPER-596,2013-03-28,2013-07-26,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1;4.2.1,1
BOOKKEEPER-597,2013-04-02,2013-04-02,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-598,2013-04-04,2013-04-07,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-599,2013-04-05,2013-04-07,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1;4.2.1,1
BOOKKEEPER-601,2013-04-05,2013-07-13,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1;4.2.1,1
BOOKKEEPER-602,2013-04-05,2014-03-10,4.2.0,4.2.2,4.2.3,4.2.0;4.2.1;4.2.1;4.2.2;4.3.0,1
BOOKKEEPER-603,2013-04-08,2013-06-03,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1;4.2.1,1
BOOKKEEPER-604,2013-04-08,2013-08-12,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-607,2013-04-22,2013-07-22,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1;4.2.1,1
BOOKKEEPER-610,2013-05-10,2013-07-20,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-617,2013-06-03,2013-06-05,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-619,2013-06-06,2013-06-21,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-620,2013-06-07,2013-06-28,4.2.0,4.2.2,4.2.2,4.2.0;4.2.1,1
BOOKKEEPER-623,2013-06-12,2013-06-26,4.2.1,4.2.2,4.2.2,4.2.1;4.3.0,1
BOOKKEEPER-624,2013-06-12,2013-08-20,4.2.1,4.2.2,4.2.2,4.2.1,1
BOOKKEEPER-626,2013-06-14,2013-06-15,4.2.1,4.2.2,4.2.2,4.2.1;4.3.0,1
BOOKKEEPER-632,2013-06-20,2013-08-21,4.2.1,4.2.2,4.2.2,4.2.1;4.3.0,1
BOOKKEEPER-636,2013-06-26,2013-07-04,4.2.1,4.2.2,4.2.2,4.2.1;4.3.0,1
