Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,23,NaiveBayes,none,SMOTE,none,0.008,0.429,0.836,0.014,0.016
SYNCOPE,23,IBk,none,SMOTE,none,0.014,0.429,0.740,0.025,0.027
SYNCOPE,23,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.627,-0.002,0.000
SYNCOPE,23,NaiveBayes,none,none,SensitiveThreshold,0.011,0.429,0.833,0.020,0.022
SYNCOPE,23,IBk,none,none,SensitiveThreshold,0.000,0.000,0.548,-0.002,0.000
SYNCOPE,24,RandomForest,none,none,none,NaN,0.000,0.500,0.000,NaN
SYNCOPE,24,NaiveBayes,none,none,none,0.031,0.316,0.913,0.050,0.056
SYNCOPE,24,IBk,none,none,none,NaN,0.000,0.492,0.000,NaN
SYNCOPE,24,RandomForest,BestFirst,none,none,NaN,0.000,0.402,0.000,NaN
SYNCOPE,24,NaiveBayes,BestFirst,none,none,0.044,0.263,0.932,0.070,0.075
SYNCOPE,24,IBk,BestFirst,none,none,0.000,0.000,0.386,-0.001,0.000
SYNCOPE,24,RandomForest,none,SMOTE,none,0.000,0.000,0.536,-0.001,0.000
SYNCOPE,24,NaiveBayes,none,SMOTE,none,0.024,0.421,0.909,0.040,0.046
SYNCOPE,24,IBk,none,SMOTE,none,0.000,0.000,0.486,-0.005,0.000
SYNCOPE,24,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.534,-0.002,0.000
SYNCOPE,24,NaiveBayes,none,none,SensitiveThreshold,0.032,0.368,0.913,0.053,0.058
SYNCOPE,24,IBk,none,none,SensitiveThreshold,0.000,0.000,0.492,-0.002,0.000
SYNCOPE,25,RandomForest,none,none,none,NaN,0.000,0.551,0.000,NaN
SYNCOPE,25,NaiveBayes,none,none,none,0.032,0.421,0.839,0.053,0.060
SYNCOPE,25,IBk,none,none,none,NaN,0.000,0.694,0.000,NaN
SYNCOPE,25,RandomForest,BestFirst,none,none,0.000,0.000,0.448,-0.000,0.000
SYNCOPE,25,NaiveBayes,BestFirst,none,none,0.046,0.474,0.874,0.078,0.085
SYNCOPE,25,IBk,BestFirst,none,none,0.000,0.000,0.521,-0.001,0.000
SYNCOPE,25,RandomForest,none,SMOTE,none,0.000,0.000,0.710,-0.002,0.000
SYNCOPE,25,NaiveBayes,none,SMOTE,none,0.020,0.474,0.820,0.030,0.038
SYNCOPE,25,IBk,none,SMOTE,none,0.038,0.053,0.709,0.040,0.044
SYNCOPE,25,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.576,-0.003,0.000
SYNCOPE,25,NaiveBayes,none,none,SensitiveThreshold,0.027,0.421,0.839,0.043,0.050
SYNCOPE,25,IBk,none,none,SensitiveThreshold,0.000,0.000,0.694,-0.003,0.000
