Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,16,RandomForest,none,none,none,0.818,0.429,0.834,0.561,0.563,0.591
SYNCOPE,16,NaiveBayes,none,none,none,0.033,0.381,0.873,0.052,0.061,0.098
SYNCOPE,16,IBk,none,none,none,0.500,0.286,0.739,0.361,0.364,0.376
SYNCOPE,16,RandomForest,BestFirst (backward),none,none,0.700,0.333,0.796,0.450,0.452,0.481
SYNCOPE,16,NaiveBayes,BestFirst (backward),none,none,0.039,0.429,0.881,0.063,0.072,0.117
SYNCOPE,16,IBk,BestFirst (backward),none,none,0.545,0.286,0.730,0.373,0.375,0.393
SYNCOPE,16,RandomForest,none,SMOTE,none,0.121,0.571,0.802,0.194,0.200,0.256
SYNCOPE,16,NaiveBayes,none,SMOTE,none,0.034,0.714,0.880,0.057,0.066,0.142
SYNCOPE,16,IBk,none,SMOTE,none,0.074,0.429,0.736,0.119,0.127,0.170
SYNCOPE,16,RandomForest,none,none,SensitiveThreshold,0.324,0.571,0.796,0.410,0.414,0.427
SYNCOPE,16,NaiveBayes,none,none,SensitiveThreshold,0.034,0.476,0.873,0.056,0.064,0.114
SYNCOPE,16,IBk,none,none,SensitiveThreshold,0.209,0.429,0.739,0.277,0.281,0.295
SYNCOPE,17,RandomForest,none,none,none,1.000,0.333,0.846,0.498,0.500,0.576
SYNCOPE,17,NaiveBayes,none,none,none,0.064,0.455,0.865,0.101,0.113,0.156
SYNCOPE,17,IBk,none,none,none,1.000,0.333,0.835,0.498,0.500,0.576
SYNCOPE,17,RandomForest,BestFirst (backward),none,none,0.909,0.303,0.799,0.452,0.455,0.523
SYNCOPE,17,NaiveBayes,BestFirst (backward),none,none,0.066,0.424,0.859,0.102,0.114,0.152
SYNCOPE,17,IBk,BestFirst (backward),none,none,0.909,0.303,0.769,0.452,0.455,0.523
SYNCOPE,17,RandomForest,none,SMOTE,none,0.155,0.394,0.812,0.214,0.222,0.238
SYNCOPE,17,NaiveBayes,none,SMOTE,none,0.054,0.667,0.867,0.087,0.100,0.172
SYNCOPE,17,IBk,none,SMOTE,none,0.145,0.364,0.822,0.198,0.207,0.220
SYNCOPE,17,RandomForest,none,none,SensitiveThreshold,0.500,0.576,0.810,0.531,0.535,0.533
SYNCOPE,17,NaiveBayes,none,none,SensitiveThreshold,0.054,0.455,0.865,0.085,0.097,0.140
SYNCOPE,17,IBk,none,none,SensitiveThreshold,0.500,0.576,0.835,0.531,0.535,0.533
SYNCOPE,18,RandomForest,none,none,none,0.000,0.000,0.906,-0.003,0.000,-0.003
SYNCOPE,18,NaiveBayes,none,none,none,0.026,0.500,0.893,0.043,0.049,0.103
SYNCOPE,18,IBk,none,none,none,0.026,0.071,0.673,0.034,0.038,0.039
SYNCOPE,18,RandomForest,BestFirst (backward),none,none,0.000,0.000,0.578,-0.001,0.000,-0.001
SYNCOPE,18,NaiveBayes,BestFirst (backward),none,none,0.034,0.429,0.861,0.058,0.063,0.113
SYNCOPE,18,IBk,BestFirst (backward),none,none,0.000,0.000,0.583,-0.001,0.000,-0.001
