Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score,MCC
SYNCOPE,12,RandomForest,none,SMOTE,none,0.131,0.732,0.899,0.208,0.222,0.295
SYNCOPE,12,NaiveBayes,none,SMOTE,none,0.047,0.366,0.793,0.067,0.084,0.108
SYNCOPE,12,IBk,none,SMOTE,none,0.115,0.707,0.868,0.184,0.198,0.270
SYNCOPE,12,RandomForest,none,none,SensitiveThreshold,0.297,0.659,0.927,0.401,0.409,0.434
SYNCOPE,12,NaiveBayes,none,none,SensitiveThreshold,0.038,0.244,0.795,0.050,0.066,0.074
SYNCOPE,12,IBk,none,none,SensitiveThreshold,0.280,0.634,0.869,0.379,0.388,0.413
SYNCOPE,13,RandomForest,none,none,none,0.706,0.300,0.873,0.418,0.421,0.457
SYNCOPE,13,NaiveBayes,none,none,none,0.063,0.275,0.777,0.087,0.102,0.114
SYNCOPE,13,IBk,none,none,none,0.737,0.350,0.791,0.471,0.475,0.505
SYNCOPE,13,RandomForest,BestFirst (backward),none,none,0.778,0.175,0.742,0.283,0.286,0.366
SYNCOPE,13,NaiveBayes,BestFirst (backward),none,none,0.064,0.175,0.743,0.080,0.093,0.091
SYNCOPE,13,IBk,BestFirst (backward),none,none,0.875,0.175,0.743,0.289,0.292,0.389
SYNCOPE,13,RandomForest,none,SMOTE,none,0.096,0.475,0.802,0.145,0.160,0.197
SYNCOPE,13,NaiveBayes,none,SMOTE,none,0.061,0.425,0.768,0.091,0.107,0.141
SYNCOPE,13,IBk,none,SMOTE,none,0.090,0.475,0.777,0.137,0.152,0.190
SYNCOPE,13,RandomForest,none,none,SensitiveThreshold,0.288,0.525,0.866,0.363,0.372,0.380
SYNCOPE,13,NaiveBayes,none,none,SensitiveThreshold,0.053,0.275,0.777,0.074,0.089,0.102
SYNCOPE,13,IBk,none,none,SensitiveThreshold,0.286,0.550,0.791,0.368,0.376,0.388
SYNCOPE,14,RandomForest,none,none,none,1.000,0.283,0.921,0.438,0.441,0.529
SYNCOPE,14,NaiveBayes,none,none,none,0.052,0.217,0.762,0.066,0.084,0.085
SYNCOPE,14,IBk,none,none,none,0.882,0.326,0.860,0.473,0.476,0.534
SYNCOPE,14,RandomForest,BestFirst (backward),none,none,0.500,0.065,0.762,0.113,0.115,0.178
SYNCOPE,14,NaiveBayes,BestFirst (backward),none,none,0.073,0.196,0.775,0.091,0.106,0.102
SYNCOPE,14,IBk,BestFirst (backward),none,none,0.500,0.065,0.731,0.113,0.115,0.178
SYNCOPE,14,RandomForest,none,SMOTE,none,0.133,0.630,0.895,0.205,0.220,0.274
SYNCOPE,14,NaiveBayes,none,SMOTE,none,0.051,0.326,0.776,0.070,0.088,0.105
SYNCOPE,14,IBk,none,SMOTE,none,0.128,0.630,0.846,0.198,0.213,0.268
SYNCOPE,14,RandomForest,none,none,SensitiveThreshold,0.355,0.478,0.908,0.399,0.407,0.404
SYNCOPE,14,NaiveBayes,none,none,SensitiveThreshold,0.054,0.261,0.762,0.072,0.090,0.097
SYNCOPE,14,IBk,none,none,SensitiveThreshold,0.364,0.522,0.860,0.421,0.429,0.428
SYNCOPE,15,RandomForest,none,none,none,0.769,0.476,0.941,0.585,0.588,0.602
SYNCOPE,15,NaiveBayes,none,none,none,0.096,0.405,0.870,0.140,0.155,0.180
SYNCOPE,15,IBk,none,none,none,0.733,0.524,0.846,0.608,0.611,0.616
SYNCOPE,15,RandomForest,BestFirst (backward),none,none,0.800,0.095,0.751,0.168,0.170,0.274
SYNCOPE,15,NaiveBayes,BestFirst (backward),none,none,0.094,0.190,0.783,0.113,0.126,0.121
SYNCOPE,15,IBk,BestFirst (backward),none,none,0.800,0.095,0.751,0.168,0.170,0.274
SYNCOPE,15,RandomForest,none,SMOTE,none,0.120,0.738,0.917,0.192,0.207,0.282
SYNCOPE,15,NaiveBayes,none,SMOTE,none,0.073,0.500,0.864,0.111,0.128,0.171
SYNCOPE,15,IBk,none,SMOTE,none,0.132,0.833,0.905,0.213,0.227,0.317
